Location,Land_Area,Floor_Area,Number_of_Floors,Number_of_Bedrooms,Number_of_Bathrooms,House_Type,Year_Built,Condition,Parking_Availability,Proximity_to_City_Center,Price
Rural,3014.2,2370.81,1,4,3,Single-Family,1992,Renovated,1,58.34,2399279.66
Urban,2542.57,1733.43,2,3,1,Single-Family,1961,Old,1,1.73,2019760.6
Urban,4287.42,2956.88,3,5,3,Apartment,1981,Renovated,1,2.06,3501986.61
Urban,1467.66,1008.5,4,2,1,Multi-Family,1969,Old,0,6.76,1234171.69
Urban,3125.3,1604.22,2,3,1,Apartment,2016,Good,1,0.44,2319887.44
Urban,2417.35,1441.77,1,2,2,Apartment,2017,Good,1,8.21,1985446.68
Urban,4599.76,2584.26,1,5,2,Multi-Family,1966,Old,1,1.99,3409883.71
Urban,3048.97,2605.58,4,5,3,Apartment,1968,Old,1,5.32,2568175.58
Urban,2824.69,1723.03,4,3,2,Multi-Family,1953,Old,0,2.49,2179491.65
Rural,2419.9,1343.96,2,2,1,Multi-Family,1966,Old,1,52.6,1723620.9
Urban,1796.88,984.52,3,1,1,Apartment,2013,Good,1,5.87,1485119.8
Rural,2811.39,2192.87,1,4,2,Single-Family,1971,Old,1,55.85,2207359.86
Suburban,1117.7,561.57,1,1,1,Multi-Family,2015,Good,0,14.29,812034.87
Urban,1163.72,801.25,2,1,1,Single-Family,1991,Renovated,1,8.75,1110340.66
Suburban,3512.44,1923.23,1,3,2,Multi-Family,1994,Renovated,0,22.54,2559461.59
Suburban,737.88,619.72,2,1,1,Single-Family,1960,Old,0,11.15,642595.71
Suburban,2180.43,1926.15,2,3,2,Apartment,2002,Renovated,1,11.19,1962238.87
Rural,1450.87,1281.85,1,2,2,Multi-Family,2009,Good,1,52.9,1338336.28
Suburban,2097.53,1419.58,1,2,2,Apartment,1978,Renovated,0,24.2,1727569.32
Suburban,2684.55,2034.37,1,4,2,Apartment,1969,Old,1,12.07,2104116.83
Suburban,3484.56,2578.16,2,5,3,Apartment,1954,Old,0,22.48,2771703.6
Urban,3717.63,2379.34,3,4,2,Multi-Family,1974,Old,1,7.94,2811391.66
Urban,1581.05,1071.36,2,2,1,Apartment,1983,Renovated,1,5.56,1323032.59
Rural,2034.04,1069.35,1,2,2,Apartment,1961,Old,0,59.94,1412153.85
Rural,6552.55,5361.82,1,10,5,Multi-Family,1977,Renovated,0,56.13,5125334.91
Urban,2249.99,1341.72,3,2,1,Apartment,1955,Old,1,2.38,1750669.82
Rural,1617.79,1106.91,2,2,1,Multi-Family,1968,Old,1,52.14,1324203.58
Urban,1784.2,1235.11,2,2,2,Apartment,1961,Old,1,3.99,1473853.53
Suburban,2255.86,1633.88,1,3,1,Single-Family,1974,Old,1,10.49,1871471.29
Suburban,2107.26,1743.02,2,3,2,Apartment,1962,Old,1,10.92,1774587.17
Rural,2265.63,1759.83,2,3,2,Single-Family,1952,Old,1,42.04,1819455.13
Urban,2478.57,1896.66,4,3,2,Multi-Family,1973,Old,1,1.96,2068412.34
Urban,2471.59,1756.55,4,3,1,Single-Family,1957,Old,1,5.09,1979819.51
Rural,1544.51,831.54,2,1,1,Multi-Family,1994,Renovated,1,32.9,1128721.04
Urban,2869.33,1896.06,2,3,2,Apartment,2021,New,0,8.76,2233562.35
Suburban,2621.05,2314.2,2,4,3,Single-Family,1950,Old,0,11.03,2144270.99
Rural,2996.58,2691.59,1,5,3,Apartment,1952,Old,1,41.01,2486616.22
Rural,785.55,622.31,2,1,1,Single-Family,2014,Good,1,48.2,804023.61
Urban,2656.84,1570.21,3,3,1,Multi-Family,1964,Old,1,0.41,2003370.97
Rural,514.4,278.17,1,1,1,Multi-Family,1999,Renovated,0,56.05,451412.91
Urban,2324.43,1547.85,4,3,1,Multi-Family,1969,Old,1,6.01,1876134.49
Urban,3157.94,2660.97,1,5,2,Multi-Family,1952,Old,1,5.56,2734085.32
Urban,3545.78,2796.72,3,5,2,Apartment,2010,Good,1,6.71,2967330.35
Urban,2834.46,2419.37,3,4,2,Apartment,1964,Old,1,3.71,2393687.15
Urban,3175.39,2369.83,4,4,3,Apartment,2008,Good,1,3.92,2577196.29
Rural,2201.0,1215.24,1,2,1,Apartment,2003,Renovated,1,35.76,1525823.03
Suburban,1990.83,1086.83,2,2,2,Apartment,2009,Good,1,25.43,1525642.07
Suburban,5192.76,2696.09,1,5,2,Multi-Family,1986,Renovated,1,16.92,3774831.41
Rural,3327.16,2418.29,2,4,3,Apartment,1970,Old,1,37.95,2540718.75
Rural,1327.02,792.44,2,1,1,Apartment,1972,Old,1,37.39,928215.3
Suburban,765.34,607.49,1,1,1,Apartment,1967,Old,1,27.4,658784.6
Suburban,2034.93,1576.05,1,3,1,Multi-Family,1966,Old,0,29.29,1729817.18
Suburban,3691.87,2315.7,1,4,3,Multi-Family,1980,Renovated,1,16.36,2785138.82
Suburban,2548.74,1454.62,1,2,1,Multi-Family,2013,Good,1,12.48,1964669.21
Suburban,275.98,149.29,2,1,1,Multi-Family,1997,Renovated,1,28.75,399000.27
Urban,2322.71,1846.38,2,3,2,Apartment,1975,Renovated,1,6.05,1980753.32
Rural,2497.6,1698.81,1,3,1,Apartment,1971,Old,1,39.31,1875157.0
Urban,84.33,53.08,1,1,1,Single-Family,1994,Renovated,1,8.36,271979.97
Suburban,2524.17,2127.02,1,4,3,Apartment,1985,Renovated,0,13.81,2041924.4
Suburban,1486.63,1096.31,2,2,1,Multi-Family,2013,Good,1,17.11,1354871.18
Suburban,664.45,469.9,2,1,1,Multi-Family,1984,Renovated,0,16.41,685075.59
Urban,4104.51,3272.74,4,6,4,Apartment,1976,Renovated,0,6.76,3354741.34
Urban,1442.4,1191.76,3,2,2,Single-Family,2017,Good,1,8.06,1383497.44
Suburban,1832.72,1419.31,1,2,1,Multi-Family,1966,Old,1,19.84,1581567.68
Urban,1819.42,1229.93,3,2,1,Single-Family,2019,Good,1,5.15,1451827.98
Urban,2502.24,1630.76,2,3,2,Multi-Family,1960,Old,1,8.92,2036782.3
Suburban,4266.31,3450.02,1,6,4,Multi-Family,1954,Old,1,27.46,3490973.01
Urban,1303.81,922.01,1,1,1,Apartment,2007,Good,1,0.82,1302634.34
Rural,2193.2,1714.54,1,3,1,Multi-Family,2006,Good,1,30.29,1842190.65
Rural,2620.86,2243.87,1,4,2,Single-Family,2023,New,0,35.63,2255542.09
Rural,1631.21,1413.21,2,2,2,Single-Family,2023,New,1,40.37,1433436.8
Rural,2177.11,1330.4,2,2,1,Apartment,2023,New,1,55.69,1670687.62
Suburban,3094.5,1779.82,2,3,2,Multi-Family,1963,Old,0,10.6,2225533.18
Suburban,1744.3,1054.46,2,2,2,Single-Family,2021,New,1,21.65,1422241.14
Suburban,2161.36,1730.27,1,3,1,Apartment,1950,Old,1,24.18,1844899.16
Rural,2068.65,1340.53,1,2,1,Single-Family,1965,Old,1,40.23,1588093.69
Rural,2396.19,1364.28,2,2,2,Apartment,1975,Renovated,1,58.22,1794647.2
Urban,2743.15,1479.53,3,2,2,Single-Family,1998,Renovated,0,1.39,1992990.35
Urban,3086.56,1947.39,2,3,1,Multi-Family,1991,Renovated,0,6.49,2399231.67
Rural,4437.55,2460.42,1,4,3,Single-Family,2019,Good,1,57.77,3236533.32
Rural,158.48,89.15,1,1,1,Single-Family,2015,Good,0,58.35,244242.95
Rural,2332.61,1804.4,2,3,1,Apartment,2002,Renovated,1,44.72,1822377.15
Rural,1135.56,576.74,2,1,1,Apartment,1958,Old,1,47.29,855396.87
Urban,2114.63,1156.75,4,2,2,Apartment,2018,Good,1,8.12,1776431.08
Rural,3380.87,2832.31,2,5,2,Single-Family,1989,Renovated,1,55.6,2748014.85
Urban,3697.79,3098.62,4,6,4,Apartment,2005,Good,1,6.29,3213893.72
Rural,3744.71,2365.52,2,4,3,Multi-Family,1954,Old,0,41.15,2822458.05
Rural,3735.29,1999.06,2,3,1,Apartment,2005,Good,1,54.92,2630836.01
Rural,2326.06,1818.95,1,3,2,Apartment,2021,New,1,32.08,1874709.86
Urban,3898.53,2510.86,4,5,2,Multi-Family,1954,Old,0,1.8,2936989.44
Urban,4096.85,2122.93,4,4,3,Apartment,2018,Good,1,2.74,3120696.38
Suburban,2638.8,1485.99,2,2,1,Apartment,2001,Renovated,1,11.75,2026485.09
Rural,3677.24,2040.45,1,4,3,Single-Family,2022,New,1,48.52,2699071.52
Suburban,2541.24,1869.45,1,3,2,Single-Family,1982,Renovated,1,17.31,2127070.87
Suburban,3910.23,3359.85,1,6,4,Apartment,1971,Old,1,10.6,3220667.83
Urban,2338.34,1910.96,4,3,2,Multi-Family,1964,Old,1,9.94,1996677.67
Urban,1890.48,1358.51,4,2,2,Apartment,2014,Good,1,4.55,1620691.68
Suburban,1380.01,923.04,2,1,1,Apartment,2020,New,1,25.74,1313142.48
Rural,2326.37,1738.89,2,3,2,Apartment,1972,Old,1,38.09,1850583.09
Urban,2584.39,1750.99,1,3,2,Single-Family,1955,Old,1,3.83,2085757.22
Rural,1554.15,930.06,2,1,1,Multi-Family,2007,Good,1,54.7,1220060.32
Rural,2249.89,1736.19,1,3,2,Multi-Family,1975,Renovated,0,48.25,1782459.43
Suburban,1973.45,1676.05,2,3,2,Multi-Family,1961,Old,0,15.66,1629226.13
Suburban,1423.02,923.75,2,1,1,Single-Family,1951,Old,0,13.58,1191116.68
Suburban,3535.88,2958.17,1,5,3,Single-Family,1981,Renovated,1,24.21,2844410.36
Suburban,3711.9,2496.0,1,4,3,Apartment,1999,Renovated,0,29.38,2840870.63
Urban,3531.43,2332.63,3,4,2,Single-Family,2010,Good,1,1.92,2821426.03
Urban,2415.84,1235.29,2,2,1,Apartment,1960,Old,1,8.6,1748184.23
Suburban,2477.62,1927.86,2,3,2,Single-Family,2017,Good,0,17.02,2062015.62
Urban,1436.83,1182.51,4,2,2,Apartment,1983,Renovated,1,4.39,1338746.42
Suburban,2914.63,2230.92,2,4,3,Single-Family,1957,Old,1,21.56,2284018.91
Rural,2669.63,1496.45,1,2,2,Multi-Family,1957,Old,1,35.75,1940316.18
Rural,5343.95,2892.77,1,5,2,Apartment,1964,Old,1,35.39,3763589.23
Rural,3587.1,2615.51,2,5,3,Single-Family,1954,Old,0,54.85,2881273.19
Suburban,2815.24,1859.77,2,3,1,Single-Family,1968,Old,1,11.78,2150100.6
Rural,2458.39,1651.15,1,3,2,Apartment,2023,New,1,43.58,1962598.17
Urban,3501.31,3106.08,2,6,3,Single-Family,1958,Old,1,5.64,3046281.5
Rural,1584.26,1250.88,1,2,1,Multi-Family,2006,Good,1,30.44,1349173.75
Rural,3639.64,2419.32,1,4,2,Apartment,2003,Renovated,0,56.26,2729087.87
Rural,1412.86,717.22,2,1,1,Apartment,1978,Renovated,1,53.37,1038579.16
Urban,1938.48,995.68,3,1,1,Apartment,1968,Old,1,4.8,1496621.94
Suburban,661.82,512.2,1,1,1,Apartment,1995,Renovated,1,10.23,631696.97
Urban,3114.08,2600.55,2,5,3,Apartment,2011,Good,0,6.66,2630187.94
Suburban,2749.93,2153.42,2,4,3,Multi-Family,2009,Good,0,25.73,2180724.96
Suburban,1938.52,1283.99,2,2,1,Apartment,1954,Old,1,25.95,1463748.87
Rural,1570.86,804.99,2,1,1,Multi-Family,1982,Renovated,0,39.5,1181326.8
Suburban,3878.72,3440.27,2,6,3,Multi-Family,2004,Renovated,0,19.68,3156964.74
Urban,2366.4,2116.83,2,4,3,Multi-Family,1968,Old,0,6.89,2126628.35
Urban,1732.7,1247.1,1,2,1,Apartment,1966,Old,1,6.89,1479113.11
Suburban,4421.93,2335.97,1,4,3,Multi-Family,1991,Renovated,0,28.33,3129781.07
Rural,1842.94,1320.26,1,2,1,Apartment,1971,Old,1,43.31,1408849.88
Rural,3638.62,3118.06,2,6,4,Multi-Family,1988,Renovated,1,36.99,2994706.78
Urban,1349.01,1041.43,2,2,1,Apartment,1976,Renovated,1,4.94,1336532.85
Rural,2145.05,1690.29,1,3,2,Single-Family,1995,Renovated,1,40.22,1723321.81
Suburban,3002.29,1603.19,1,3,1,Single-Family,1977,Renovated,1,29.5,2185010.98
Suburban,2442.16,1325.13,2,2,1,Multi-Family,2001,Renovated,1,13.96,1876030.55
Urban,2743.76,1511.65,4,3,1,Single-Family,2014,Good,0,0.87,2032114.8
Suburban,1961.17,1690.04,1,3,2,Multi-Family,1988,Renovated,0,23.5,1628362.36
Urban,902.2,640.87,1,1,1,Multi-Family,1967,Old,1,5.04,878427.28
Suburban,3965.58,3238.41,1,6,3,Multi-Family,1971,Old,0,28.68,3234937.44
Urban,2022.17,1104.34,3,2,1,Single-Family,2017,Good,1,2.68,1626679.15
Rural,2789.01,2429.39,1,4,3,Multi-Family,1960,Old,1,37.71,2290714.55
Suburban,3201.96,2652.69,2,5,2,Single-Family,2013,Good,0,27.02,2631576.99
Suburban,2808.76,1656.9,1,3,2,Single-Family,2020,New,1,14.57,2174665.04
Urban,1791.41,1522.11,1,3,1,Apartment,2006,Good,1,9.04,1615451.36
Urban,3659.76,2215.53,3,4,2,Single-Family,1984,Renovated,1,5.21,2848464.56
Suburban,3013.68,1754.37,1,3,2,Apartment,1986,Renovated,1,21.26,2283745.78
Urban,2698.77,1634.64,3,3,2,Multi-Family,1999,Renovated,0,5.32,2076541.52
Suburban,2675.58,2311.65,2,4,2,Multi-Family,1979,Renovated,1,24.27,2282339.24
Rural,4182.26,3622.83,1,7,4,Apartment,1966,Old,1,44.89,3384251.57
Urban,1769.94,1117.89,4,2,2,Multi-Family,1982,Renovated,1,3.86,1437364.97
Suburban,2915.26,2280.24,2,4,3,Apartment,1965,Old,1,29.83,2485181.31
Rural,1971.37,1518.54,2,3,1,Apartment,1964,Old,1,52.39,1581648.54
Rural,563.69,463.71,2,1,1,Multi-Family,1962,Old,1,50.62,485771.51
Suburban,537.27,332.36,1,1,1,Apartment,1952,Old,1,16.98,492549.08
Urban,1485.36,1045.78,4,2,2,Apartment,1973,Old,0,7.07,1208588.43
Suburban,1841.56,1412.6,1,2,2,Apartment,1972,Old,1,11.67,1516952.11
Rural,4672.95,2385.55,1,4,3,Multi-Family,2008,Good,1,53.87,3205908.57
Suburban,3198.39,2081.18,1,4,3,Multi-Family,2004,Renovated,0,18.46,2443425.68
Urban,3288.34,2559.5,1,5,2,Multi-Family,2014,Good,1,9.39,2824367.75
Rural,1862.92,1119.69,1,2,2,Multi-Family,1981,Renovated,0,42.56,1365994.63
Suburban,2561.33,2261.86,1,4,2,Multi-Family,2009,Good,1,25.7,2384611.34
Urban,4806.15,2461.06,2,4,3,Single-Family,1979,Renovated,0,3.15,3462575.56
Rural,1285.58,1135.47,1,2,1,Single-Family,2015,Good,0,48.0,1224206.29
Urban,2956.24,1734.44,2,3,1,Apartment,1967,Old,1,7.6,2189892.22
Rural,4111.3,2135.94,1,4,3,Single-Family,2008,Good,1,49.11,2876851.7
Suburban,3465.94,2138.45,2,4,3,Multi-Family,2002,Renovated,1,14.83,2609718.45
Urban,4301.54,3503.66,4,7,4,Multi-Family,2013,Good,1,1.41,3582346.93
Rural,2712.87,2172.95,1,4,2,Multi-Family,1979,Renovated,1,51.79,2226434.82
Urban,3103.45,1810.98,1,3,2,Apartment,1967,Old,0,6.31,2255701.16
Urban,2609.77,1510.32,2,3,1,Apartment,1954,Old,0,5.9,2023517.85
Suburban,3033.35,2296.34,2,4,3,Apartment,2018,Good,0,19.76,2415666.88
Urban,1584.79,1082.78,2,2,1,Apartment,1957,Old,1,0.47,1458163.24
Rural,3292.35,2689.57,1,5,3,Apartment,1958,Old,1,54.23,2653582.24
Rural,2794.25,1424.1,1,2,1,Apartment,1981,Renovated,0,48.11,2002981.57
Rural,2562.66,1907.04,1,3,1,Single-Family,1963,Old,1,59.83,1960726.81
Rural,4246.39,3364.28,1,6,3,Multi-Family,1962,Old,1,32.08,3363898.39
Suburban,2234.61,2005.24,2,4,3,Single-Family,1967,Old,0,18.33,1901171.53
Urban,3707.82,2860.63,4,5,2,Apartment,2017,Good,1,8.02,3073547.18
Suburban,3807.28,2256.72,1,4,3,Multi-Family,1971,Old,1,14.04,2835576.01
Urban,3355.54,1822.98,3,3,1,Multi-Family,1969,Old,1,1.46,2560570.67
Urban,1534.9,1160.95,2,2,2,Multi-Family,1964,Old,1,1.04,1427216.89
Urban,2859.08,2027.87,1,4,3,Single-Family,1956,Old,1,0.65,2361348.49
Suburban,4458.47,3832.76,1,7,3,Multi-Family,1979,Renovated,1,29.49,3678826.52
Urban,681.45,538.78,4,1,1,Apartment,1954,Old,1,8.69,741856.65
Suburban,2312.34,1627.65,1,3,2,Apartment,1950,Old,1,26.63,1781704.68
Rural,3662.31,2422.38,2,4,2,Single-Family,2009,Good,0,37.73,2672492.52
Rural,2384.68,1578.06,1,3,2,Single-Family,1980,Renovated,1,45.69,1797734.43
Urban,3309.89,1954.56,3,3,2,Apartment,1969,Old,0,3.6,2562442.01
Suburban,3909.19,1981.69,1,3,2,Single-Family,2013,Good,1,17.99,2778481.84
Rural,2732.01,1994.27,1,3,2,Multi-Family,2013,Good,0,52.72,2095468.7
Suburban,3008.99,1760.16,2,3,2,Single-Family,1978,Renovated,1,12.76,2306664.56
Suburban,2591.87,1511.92,1,3,2,Multi-Family,1959,Old,1,13.54,1921853.82
Urban,2797.81,1539.22,4,3,2,Multi-Family,1978,Renovated,1,6.63,2227971.22
Rural,4602.6,2650.35,2,5,3,Multi-Family,1980,Renovated,0,46.14,3145446.71
Urban,2436.05,1249.0,4,2,2,Multi-Family,1979,Renovated,1,0.49,1944219.62
Urban,2146.85,1652.41,4,3,1,Multi-Family,1974,Old,1,9.2,1917353.19
Rural,3541.75,2339.53,1,4,3,Apartment,2007,Good,1,35.55,2712092.17
Rural,1657.08,1200.74,2,2,2,Apartment,2006,Good,1,58.41,1329793.44
Suburban,1885.28,1422.98,1,2,2,Apartment,2012,Good,1,14.15,1664946.73
Rural,1891.65,1681.67,1,3,1,Multi-Family,1986,Renovated,0,51.16,1537512.6
Suburban,2244.13,1183.34,1,2,1,Single-Family,2007,Good,1,10.16,1817562.75
Suburban,2287.8,1526.34,2,3,1,Single-Family,1977,Renovated,0,24.0,1818171.64
Suburban,3199.1,1914.21,1,3,1,Multi-Family,1976,Renovated,1,15.82,2355083.09
Rural,2157.64,1490.25,1,2,1,Single-Family,2019,Good,0,54.75,1694975.77
Urban,3239.46,2812.46,1,5,2,Multi-Family,1986,Renovated,1,8.17,2727721.36
Suburban,3364.18,2656.34,2,5,3,Single-Family,1955,Old,1,21.23,2688849.74
Urban,1846.49,1412.16,4,2,1,Multi-Family,2011,Good,1,6.45,1672324.27
Urban,3342.71,2261.34,2,4,2,Single-Family,1982,Renovated,0,6.66,2586318.99
Rural,3433.42,2638.39,1,5,2,Single-Family,1989,Renovated,1,32.37,2718226.38
Urban,739.06,379.1,2,1,1,Apartment,1990,Renovated,1,6.88,773739.74
Urban,2793.48,2051.8,2,4,2,Single-Family,1991,Renovated,0,9.76,2248749.82
Rural,1993.59,1438.4,2,2,2,Single-Family,1958,Old,1,37.41,1547370.39
Suburban,3803.06,2428.85,2,4,3,Multi-Family,1967,Old,0,22.18,2919975.09
Urban,1983.39,1151.57,4,2,1,Single-Family,1964,Old,1,3.94,1619265.53
Rural,1160.52,955.13,1,1,1,Single-Family,1953,Old,1,40.53,986013.43
Urban,2470.18,1288.31,3,2,1,Single-Family,1983,Renovated,1,1.33,1891646.78
Urban,1603.03,846.19,2,1,1,Single-Family,2011,Good,1,7.36,1272032.05
Suburban,3349.59,2265.02,1,4,3,Single-Family,1987,Renovated,1,19.88,2643250.14
Urban,1691.39,1016.56,4,2,1,Apartment,2020,New,0,9.01,1426761.65
Rural,2482.49,1981.48,1,3,1,Single-Family,1972,Old,1,38.25,2022407.65
Urban,4045.81,3049.23,2,6,3,Multi-Family,1969,Old,1,6.61,3149497.91
Suburban,3598.53,2911.26,2,5,3,Multi-Family,2005,Good,1,11.0,2957111.2
Suburban,2977.84,1875.66,1,3,2,Single-Family,2002,Renovated,1,28.11,2283191.82
Rural,2372.42,1888.94,2,3,1,Single-Family,1951,Old,0,30.14,1879750.3
Suburban,2882.9,2435.82,1,4,2,Single-Family,1970,Old,1,28.82,2404414.42
Urban,3188.98,2034.92,1,4,3,Apartment,1991,Renovated,1,0.55,2556004.0
Suburban,1513.4,962.46,1,1,1,Multi-Family,2006,Good,1,10.68,1260318.91
Rural,3351.34,2882.09,1,5,3,Apartment,1998,Renovated,1,47.15,2689342.34
Suburban,1398.31,727.0,1,1,1,Apartment,1959,Old,1,20.32,1024135.3
Suburban,3072.45,1966.6,2,3,1,Single-Family,2021,New,0,28.72,2343753.59
Suburban,1393.11,762.68,2,1,1,Single-Family,2010,Good,1,27.66,1291447.23
Rural,4462.8,2283.13,1,4,3,Multi-Family,1970,Old,1,44.23,3123371.02
Suburban,3263.34,1779.0,2,3,2,Single-Family,2009,Good,0,24.6,2510053.4
Suburban,943.97,634.82,2,1,1,Multi-Family,1962,Old,1,29.08,872635.72
Urban,2499.07,1936.24,1,3,1,Apartment,1997,Renovated,1,3.32,2061073.81
Rural,1978.58,1218.24,2,2,2,Multi-Family,1989,Renovated,0,37.19,1484760.39
Suburban,1860.27,1562.39,2,3,1,Multi-Family,2012,Good,1,20.8,1765174.14
Rural,2647.1,1786.91,1,3,2,Multi-Family,1958,Old,1,52.49,2047131.23
Suburban,1572.01,1394.83,2,2,1,Apartment,2006,Good,0,25.13,1434154.21
Suburban,3261.47,2875.52,2,5,3,Apartment,2000,Renovated,1,26.18,2730683.72
Suburban,3204.65,2593.56,2,5,3,Single-Family,1989,Renovated,1,14.35,2658502.86
Urban,2851.42,2489.18,1,4,2,Single-Family,2022,New,1,9.73,2459093.83
Urban,2480.5,1941.83,2,3,2,Multi-Family,2013,Good,0,9.37,2076358.69
Urban,3159.82,2711.86,3,5,2,Multi-Family,2019,Good,1,8.64,2732101.55
Rural,3291.39,1957.03,1,3,2,Apartment,2013,Good,1,40.82,2396576.59
Rural,2954.92,1885.74,1,3,1,Apartment,1974,Old,1,33.22,2234416.45
Urban,1188.13,951.9,1,1,1,Apartment,1977,Renovated,1,4.67,1113403.92
Rural,1711.61,1146.48,1,2,2,Multi-Family,1959,Old,1,37.77,1361923.85
Suburban,2231.94,1863.52,2,3,2,Multi-Family,1977,Renovated,0,18.65,1930095.38
Suburban,1024.21,871.66,2,1,1,Apartment,1985,Renovated,0,29.21,1042858.42
Suburban,2724.0,1688.59,1,3,2,Multi-Family,1960,Old,0,23.06,2065340.05
Urban,3911.01,3243.71,2,6,4,Apartment,1970,Old,1,4.25,3210168.09
Rural,3751.69,2107.35,1,4,3,Single-Family,1975,Renovated,1,42.92,2710822.81
Urban,3239.63,2052.88,2,4,3,Apartment,1967,Old,1,3.21,2632081.62
Rural,3227.71,2282.59,2,4,3,Multi-Family,2017,Good,1,33.6,2569335.75
Suburban,4715.3,2784.75,2,5,3,Multi-Family,1990,Renovated,0,16.17,3444624.75
Urban,3343.86,2446.73,1,4,2,Multi-Family,1964,Old,1,5.69,2716810.45
Rural,3425.64,2505.78,2,5,2,Multi-Family,1972,Old,1,42.44,2652314.26
Rural,1061.09,618.36,2,1,1,Apartment,1990,Renovated,1,45.92,794297.22
Suburban,3832.82,3136.23,1,6,4,Apartment,1955,Old,0,12.82,3111139.2
Urban,2898.5,2181.58,2,4,2,Single-Family,2020,New,1,1.58,2413134.11
Urban,2420.22,1517.73,2,3,2,Apartment,2009,Good,1,1.43,1952429.26
Urban,2172.36,1287.94,3,2,2,Single-Family,2001,Renovated,1,5.57,1745601.42
Suburban,1951.4,1661.62,2,3,2,Apartment,1958,Old,1,22.97,1583736.34
Urban,3756.78,3134.27,4,6,4,Apartment,1979,Renovated,1,3.94,3168317.85
Suburban,2471.64,1462.97,2,2,1,Multi-Family,1993,Renovated,1,17.2,1807136.41
Suburban,1988.32,1022.48,2,2,1,Single-Family,2011,Good,1,28.84,1568342.8
Suburban,1728.45,1420.46,2,2,1,Multi-Family,1992,Renovated,0,28.96,1363297.84
Rural,2670.6,1992.81,2,3,2,Multi-Family,1977,Renovated,1,52.37,2020218.68
Urban,2140.39,1156.57,4,2,2,Apartment,1957,Old,1,0.12,1588024.2
Urban,1912.24,1405.39,2,2,1,Apartment,2000,Renovated,1,8.06,1664312.98
Suburban,1117.84,761.11,1,1,1,Single-Family,1979,Renovated,0,29.88,952012.99
Suburban,3459.36,2801.46,1,5,2,Single-Family,1960,Old,1,11.44,2894730.99
Urban,2361.98,1378.53,4,2,1,Apartment,1969,Old,0,1.12,1830595.06
Suburban,1414.76,963.82,1,1,1,Single-Family,1980,Renovated,1,24.53,1111242.93
Urban,2228.76,1253.67,2,2,2,Apartment,1983,Renovated,0,7.41,1699698.18
Rural,3049.13,2692.41,1,5,2,Apartment,1961,Old,1,40.96,2516450.79
Suburban,2528.84,2052.14,1,4,3,Apartment,1997,Renovated,0,19.37,2126951.35
Urban,2690.99,2138.5,1,4,2,Single-Family,1977,Renovated,1,4.84,2205135.39
Suburban,2542.55,1973.23,2,3,2,Multi-Family,2016,Good,1,15.49,2165596.91
Urban,1223.14,818.69,1,1,1,Single-Family,2012,Good,1,4.6,1091562.68
Urban,3448.51,2997.83,1,5,2,Multi-Family,1997,Renovated,1,6.72,2897940.97
Suburban,791.75,418.97,1,1,1,Single-Family,1991,Renovated,1,28.63,775924.35
Rural,2961.54,2432.32,2,4,3,Multi-Family,2001,Renovated,1,52.63,2409685.25
Urban,3115.57,1826.01,3,3,2,Multi-Family,1954,Old,0,9.75,2357703.08
Urban,2280.16,1435.61,1,2,1,Single-Family,1961,Old,0,3.35,1810514.22
Urban,2853.42,2019.57,4,4,3,Single-Family,2008,Good,1,2.47,2293482.23
Rural,2222.86,1807.32,2,3,1,Multi-Family,2014,Good,1,38.29,1846961.74
Rural,2865.5,2393.88,1,4,2,Apartment,2001,Renovated,0,46.44,2398935.61
Suburban,3492.92,2562.03,2,5,3,Multi-Family,1992,Renovated,1,28.49,2775371.81
Rural,1707.87,1129.27,2,2,1,Multi-Family,2012,Good,0,39.09,1346938.67
Suburban,3173.96,2788.64,2,5,2,Apartment,1999,Renovated,1,18.41,2811431.66
Suburban,4192.4,2509.61,1,5,2,Multi-Family,1988,Renovated,1,18.44,3187070.51
Rural,2764.57,2270.37,2,4,2,Apartment,1991,Renovated,1,34.7,2234096.34
Suburban,1996.9,1487.33,1,2,1,Apartment,1966,Old,1,20.76,1658816.22
Rural,4763.23,3099.71,2,6,4,Single-Family,1992,Renovated,1,59.6,3579415.3
Suburban,2588.71,1295.77,2,2,2,Multi-Family,1998,Renovated,1,20.07,2020934.72
Rural,2731.53,1853.72,2,3,1,Multi-Family,1954,Old,1,53.52,2009478.4
Rural,2752.37,1680.84,1,3,1,Apartment,1950,Old,1,36.35,2175677.11
Suburban,2947.86,1596.97,1,3,2,Multi-Family,2016,Good,0,10.45,2192259.44
Urban,2161.13,1145.54,2,2,2,Apartment,1973,Old,1,4.28,1671444.91
Suburban,2689.99,1718.97,2,3,2,Multi-Family,1978,Renovated,1,17.75,2132892.29
Rural,3452.18,2574.99,1,5,2,Multi-Family,1964,Old,1,30.65,2660115.75
Urban,2126.6,1775.73,3,3,1,Apartment,1953,Old,1,8.01,1835273.26
Suburban,2080.01,1192.73,2,2,2,Apartment,1993,Renovated,1,15.53,1601609.28
Suburban,2207.92,1478.99,2,2,1,Multi-Family,2014,Good,1,17.48,1751644.28
Suburban,1402.23,920.96,2,1,1,Multi-Family,1980,Renovated,1,13.94,1101071.82
Urban,1817.16,1281.75,1,2,2,Apartment,1969,Old,1,8.11,1472422.92
Rural,1776.42,1463.48,1,2,1,Single-Family,1959,Old,1,32.98,1420603.04
Suburban,2499.48,1803.27,1,3,2,Single-Family,1960,Old,1,26.22,2016036.4
